235;1.03102E+11;Deudores por venta de activos extraordinarios
236;1031020203;Microcréditos
237;1.03102E+11;Préstamos
238;1.03102E+13;Fiduciarios
239;1.03102E+13;Prendarios – fiduciarios
240;1.03102E+13;Prendarios
241;1.03102E+13;Hipotecarios – fiduciarios
242;1.03102E+13;Hipotecarios – prendarios
243;1.03102E+13;Hipotecarios
244;1.03102E+13;Derechos de posesión
245;1.03102E+13;Hipotecarios - prendarios – fiduciarios
246;1.03102E+13;Con garantía de obligaciones depositarias propias
247;1.03102E+11;Deudores por venta de activos extraordinarios
248;1031020204;Vivienda
249;1.03102E+11;Préstamos
250;1.03102E+13;Fiduciarios
251;1.03102E+13;Prendarios – fiduciarios
252;1.03102E+13;Prendarios
253;1.03102E+13;Hipotecarios- fiduciarios
254;1.03102E+13;Hipotecarios – prendarios
255;1.03102E+13;Hipotecarios
256;1.03102E+13;Derechos de posesión
257;1.03102E+13;Hipotecarios - prendarios – fiduciarios
258;1.03102E+13;Con garantía de obligaciones depositarias propias
259;1031020205;Consumo
260;1.03102E+11;Préstamos
261;1.03102E+13;Fiduciarios
262;1.03102E+13;Prendarios – fiduciarios
263;1.03102E+13;Prendarios
264;1.03102E+13;Hipotecarios – fiduciarios
265;1.03102E+13;Hipotecarios – prendarios
266;1.03102E+13;Hipotecarios
267;1.03102E+13;Derechos de posesión
268;1.03102E+13;Hipotecarios - prendarios – fiduciarios
269;1.03102E+13;Con garantía de obligaciones depositarias propias
270;1.03102E+11;Tarjetas de crédito
271;1.03102E+11;Deudores por venta de activos extraordinarios
272;10310203;En cobro judicial
273;1031020302;Productivos
274;1.03102E+11;Préstamos
275;1.03102E+13;Fiduciarios
276;1.03102E+13;Prendarios – fiduciarios
277;1.03102E+13;Prendarios
278;1.03102E+13;Hipotecarios – fiduciarios
279;1.03102E+13;Hipotecarios – prendarios
280;1.03102E+13;Hipotecarios
281;1.03102E+13;Derechos de posesión
282;1.03102E+13;Hipotecarios - prendarios – fiduciarios
283;1.03102E+13;Con garantía de obligaciones depositarias propias
284;1.03102E+11;Deudores por venta de activos extraordinarios
285;1031020303;Microcréditos
286;1.03102E+11;Préstamos
287;1.03102E+13;Fiduciarios
288;1.03102E+13;Prendarios – fiduciarios
289;1.03102E+13;Prendarios
290;1.03102E+13;Hipotecarios – fiduciarios
291;1.03102E+13;Hipotecarios – prendarios
292;1.03102E+13;Hipotecarios
293;1.03102E+13;Derechos de posesión
294;1.03102E+13;Hipotecarios - prendarios – fiduciarios
295;1.03102E+13;Con garantía de obligaciones depositarias propias
296;1.03102E+11;Deudores por venta de activos extraordinarios
297;1031020304;Vivienda
298;1.03102E+11;Préstamos
299;1.03102E+13;Fiduciarios
300;1.03102E+13;Prendarios – fiduciarios
301;1.03102E+13;Prendarios
302;1.03102E+13;Hipotecarios – fiduciarios
303;1.03102E+13;Hipotecarios – prendarios
304;1.03102E+13;Hipotecarios
305;1.03102E+13;Derechos de posesión
306;1.03102E+13;Hipotecarios - prendarios – fiduciarios
307;1.03102E+13;Con garantía de obligaciones depositarias propias
308;1031020305;Consumo
309;1.03102E+11;Préstamos
310;1.03102E+13;Fiduciarios
311;1.03102E+13;Prendarios – fiduciarios
312;1.03102E+13;Prendarios
313;1.03102E+13;Hipotecarios – fiduciarios
314;1.03102E+13;Hipotecarios – prendarios
315;1.03102E+13;Hipotecarios
316;1.03102E+13;Derechos de posesión
317;1.03102E+13;Hipotecarios - prendarios – fiduciarios
318;1.03102E+13;Con garantía de obligaciones depositarias propias
319;1.03102E+11;Tarjetas de crédito
320;1.03102E+11;Deudores por venta de activos extraordinarios
321;103199;PRODUCTOS FINANCIEROS POR COBRAR
322;10319901;Intereses
323;1031990102;Productivos
324;1.03199E+11;Préstamos
325;1.03199E+11;Deudores por venta de activos extraordinarios
326;1031990103;Microcréditos
327;1.03199E+11;Préstamos
328;1.03199E+11;Deudores por venta de activos extraordinarios
329;1031990104;Vivienda
330;1.03199E+11;Préstamos
331;1031990105;Consumo
332;1.03199E+11;Préstamos
333;1.03199E+11;Tarjetas de crédito
334;1.03199E+11;Deudores por venta de activos extraordinarios
335;10319902;Gastos administrativos
336;1031990202;Productivos
337;1.03199E+11;Préstamos
338;1.03199E+11;Deudores por venta de activos extraordinarios
339;1031990203;Microcréditos
340;1.03199E+11;Préstamos
341;1.03199E+11;Deudores por venta de activos extraordinarios
342;1031990204;Vivienda
343;1.03199E+11;Préstamos
344;1031990205;Consumo
345;1.03199E+11;Préstamos
346;1.03199E+11;Tarjetas de crédito
347;1.03199E+11;Deudores por venta de activos extraordinarios
348;1036;MONEDA EXTRANJERA
349;103601;VIGENTE
350;10360102;Productivos
351;1036010201;Préstamos
352;1.03601E+11;Fiduciarios
353;1.03601E+11;Prendarios – fiduciarios
354;1.03601E+11;Prendarios
355;1.03601E+11;Hipotecarios – fiduciarios
356;1.03601E+11;Hipotecarios – prendarios
357;1.03601E+11;Hipotecarios
358;1.03601E+11;Derechos de posesión
359;1.03601E+11;Hipotecarios - prendarios – fiduciarios
360;1.03601E+11;Con garantía de obligaciones depositarias propias
361;1036010209;Deudores por venta de activos extraordinarios
362;10360103;Microcréditos
363;1036010301;Préstamos
364;1.03601E+11;Fiduciarios
365;1.03601E+11;Prendarios – fiduciarios
366;1.03601E+11;Prendarios
367;1.03601E+11;Hipotecarios – fiduciarios
368;1.03601E+11;Hipotecarios – prendarios
369;1.03601E+11;Hipotecarios
370;1.03601E+11;Derechos de posesión
371;1.03601E+11;Hipotecarios - prendarios – fiduciarios
372;1.03601E+11;Con garantía de obligaciones depositarias propias
373;1036010309;Deudores por venta de activos extraordinarios
374;10360104;Vivienda
375;1036010401;Préstamos
376;1.03601E+11;Fiduciarios
377;1.03601E+11;Prendarios – fiduciarios
378;1.03601E+11;Prendarios
379;1.03601E+11;Hipotecarios – fiduciarios
380;1.03601E+11;Hipotecarios – prendarios
381;1.03601E+11;Hipotecarios
382;1.03601E+11;Derechos de posesión
383;1.03601E+11;Hipotecarios - prendarios – fiduciarios
384;1.03601E+11;Con garantía de obligaciones depositarias propias
385;10360105;Consumo
386;1036010501;Préstamos
387;1.03601E+11;Fiduciarios
388;1.03601E+11;Prendarios – fiduciarios
389;1.03601E+11;Prendarios
390;1.03601E+11;Hipotecarios – fiduciarios
391;1.03601E+11;Hipotecarios – prendarios
392;1.03601E+11;Hipotecarios
393;1.03601E+11;Derechos de posesión
394;1.03601E+11;Hipotecarios - prendarios – fiduciarios
395;1.03601E+11;Con garantía de obligaciones depositarias propias
396;1036010505;Tarjetas de crédito
397;1036010509;Deudores por venta de activos extraordinarios
398;10360180;Diferencial cambiario
399;103602;VENCIDA
400;10360201;En prórroga
401;1036020102;Productivos
402;1.03602E+11;Préstamos
403;1.03602E+13;Fiduciarios
404;1.03602E+13;Prendarios – fiduciarios
405;1.03602E+13;Prendarios
406;1.03602E+13;Hipotecarios – fiduciarios
407;1.03602E+13;Hipotecarios – prendarios
408;1.03602E+13;Hipotecarios
409;1.03602E+13;Derechos de posesión
410;1.03602E+13;Hipotecarios - Prendarios – Fiduciarios
411;1.03602E+13;Con Garantía de Obligaciones depositarias Propias
